source_champion,source_slug,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
Camille,camille,Garen,garen,51.95,949,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Zaahen,zaahen,47.44,820,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Renekton,renekton,50.50,794,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Jax,jax,48.46,778,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Aatrox,aatrox,50.26,760,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Ambessa,ambessa,52.28,658,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Darius,darius,50.47,634,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Ornn,ornn,48.22,618,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Malphite,malphite,46.76,586,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Fiora,fiora,51.73,520,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Gangplank,gangplank,48.64,516,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Mordekaiser,mordekaiser,50.40,506,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Riven,riven,49.90,497,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Yone,yone,54.75,495,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Sett,sett,49.68,473,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Gnar,gnar,45.76,448,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Sion,sion,49.32,442,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
Camille,camille,Irelia,irelia,48.19,442,https://op.gg/lol/champions/camille/counters/top,2026-02-11T22:31:04.449559+00:00
